NombreTitulo;NombreCurso;Asignatura;Dia;TramoHorario
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Base de Datos;LUN;1
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Base de Datos;LUN;2
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Entornos de Desarrollos;LUN;5
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Lenguaje de Marcas;LUN;3
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Programación;LUN;6
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Sistemas Informáticos;LUN;4
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Acceso a Datos;LUN;1
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Desarrollo de Interfaces;LUN;4
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Desarrollo de Interfaces;LUN;5
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Empresa e Iniciativa Emprendedora;LUN;6
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Programación Multimedia y Dispositivos Móviles;LUN;2
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Sistemas de Gestión Empresarial;LUN;3
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Base de Datos;MAR;1
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Formación y Orientación Laboral;MAR;3
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Lenguaje de Marcas;MAR;2
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Programación;MAR;6
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Sistemas Informáticos;MAR;4
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Sistemas Informáticos;MAR;5
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Desarrollo de Interfaces;MAR;2
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Desarrollo de Interfaces;MAR;3
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Empresa e Iniciativa Emprendedora;MAR;4
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Inglés;MAR;5
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Programación de Procesos y Servicios;MAR;1
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Programación Multimedia y Dispositivos Móviles;MAR;6
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Base de Datos;MIE;5
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Entornos de Desarrollos;MIE;1
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Formación y Orientación Laboral;MIE;6
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Programación;MIE;2
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Programación;MIE;3
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Sistemas Informáticos;MIE;4
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Acceso a Datos;MIE;6
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Desarrollo de Interfaces;MIE;1
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Empresa e Iniciativa Emprendedora;MIE;4
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Inglés;MIE;3
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Programación de Procesos y Servicios;MIE;5
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Sistemas de Gestión Empresarial;MIE;2
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Base de Datos;JUE;6
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Entornos de Desarrollos;JUE;4
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Lenguaje de Marcas;JUE;1
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Programación;JUE;2
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Programación;JUE;3
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Sistemas Informáticos;JUE;5
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Acceso a Datos;JUE;3
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Desarrollo de Interfaces;JUE;6
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Formación y Orientación Personal;JUE;2
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Inglés;JUE;4
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Programación Multimedia y Dispositivos Móviles;JUE;5
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Sistemas de Gestión Empresarial;JUE;1
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Base de Datos;VIE;2
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Formación y Orientación Laboral;VIE;3
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Formación y Orientación Personal;VIE;1
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Lenguaje de Marcas;VIE;6
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Programación;VIE;4
T.S. Desarrollo Aplicaciones Multiplataforma;1º D.A.M.;Programación;VIE;5
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Acceso a Datos;VIE;1
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Desarrollo de Interfaces;VIE;4
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Empresa e Iniciativa Emprendedora;VIE;5
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Programación de Procesos y Servicios;VIE;2
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Programación Multimedia y Dispositivos Móviles;VIE;6
T.S. Desarrollo Aplicaciones Multiplataforma;2º D.A.M.;Sistemas de Gestión Empresarial;VIE;3
